Key,SubCategory,FAQ Question,Previous alternative User Says,New User Says,FAQ Response
product-services-q13,Transactions,Is it possible to go overdrawn?,,,"Yes, it's possible thanks to the Direct reserve.   If your application for the Direct reserve is accepted, the balance of your Hello Current account can overdraft up to €-1.250."
product-services-q14,Transactions,What is the debit interest rate?,,,You will find information on interest rates in our price list.
product-services-q15,Transactions,Can I transfer funds to an account abroad?,,,"Yes, but only in the SEPA -Single European Payments Area-. If you were already a BNP Paribas Fortis customer, you can make transfers outside the SEPA."
product-services-q16,Transactions,Can I make transfers in a foreign currency?,,,"Yes, you can make transfers in a foreign currency but need to contact the Hello Team, and you cannot make foreign currency deposits on your Hello Current Account."
product-services-q17,Transactions,Can I use cheques at Hello bank!?,,,"No, cheques are hardly used anymore and are therefore no longer available at Hello bank!"
product-services-q18,Transactions,How do I transfer money into my Hello Current Account?,,,"By having your income paid directly into your account, making a transfer from another bank account or via Easy transfer. If you were already a customer at BNP Paribas Fortis, you can also deposit money via BNP Paribas Fortis ATMs."
product-services-q19,Transactions,Can I deposit cash into a Hello bank! account using a BNP Paribas Fortis ATM?,,,"No, this method of supplying your Hello Current Account is not available. It is however available if you are a BNP Paribas Fortis customer benefitting from this option."
product-services-q20,Transactions,Where can I find my IBAN account number?,,,On your bank card.
product-services-q21,Transactions,How do I close my bank account?,,,Call the Hello Team at 02 433 41 45 and they will let you know what to do.
product-services-q22,Transactions,Can I get an overview of all my Hello bank! accounts?,,,"You can get an overview of all of your Hello bank! accounts in the app Hello bank!, once you have created your profile."
product-services-q23,Transactions,Can I use cash dispensers?,,,Of course. You can use BNP Paribas Fortis cash dispensers as well as those of other banks. You can use them for cash withdrawals and to change your PIN code.
product-services-q24,Transactions,Does Hello bank! offer joint accounts?,,,"Yes, you may hold a maximum of two joint accounts."
product-services-q25,Savings,How can I open my Traditional Savings Account?,,,"Through the app Hello bank! In the ""My Accounts"" menu, click on the ""Add Products"" icon.   Please read the ""Essential information for savers"" before opening your account."
product-services-q26,Savings,How can I open my Premium Online Savings Account ?,,,"Through the app Hello bank! In the ""My Accounts"" menu, click on the ""Add Products"" icon.   Please read the ""Essential information for savers"" before opening your account."
product-services-q27,Savings,What are the interest rates on my Traditional Savings Account?,,,You'll find information on interest rates in our price list.
product-services-q28,Savings,What are the interest rates on my Premium Online Savings Account?,,,You'll find information on interest rates in our price list.
product-services-q29,Savings,When is the interest on my savings account paid?,,,"The base rate is paid annually on January 1st. The acquired loyalty bonus is paid quarterly -01/01, 01/04, 01/07, 01/10-."
product-services-q30,Savings,Where can I see the amount of interest received?,,,The information will appear in your transaction overview as soon as the interest is paid. The amount paid is stated there.
product-services-q31,Digital Protect,How do I subscribe to Digital Protect?,,,"Through the app Hello bank! In the ""My Accounts"" menu, click on the ""Add Products"" icon."
product-services-q32,Digital Protect,What is Digital Protect?,,,"It is an insurance policy to protectall your mobile devises that are less than 5 years old. The Digital Protect insurance policy covers all of the mobile devices in your home, without you having to identify them in advance. Secure your mobile devices today."
product-services-q33,Digital Protect,What does Digital Protect cover? Here are a few examples...,,,"Digital Protect insurance provides cover in the event of aggravated theft, accidental damage or fraudulent use. Aggravated theft means a theft with assault or a burglary that takes place outside your place of residence -a main or secondary residence or a holiday let- and results in the theft of the device.   This insurance covers all devices under 5 years old owned by the policyholder and anyone living as part of their household, with no limit on the number of devices and no requirement for prior identification of the insured devices.   Here are a few examples: You fall while skiing and your telephone, which was in your pocket, is damaged. You are mugged on your way from home to the subway station. Your child trips over a stone and falls, and his or her games console is damaged. Your dog chews your mp3 player. Digital Protect covers all these unpleasant occurrences."
product-services-q34,Digital Protect,Which devices are covered by Digital Protect?,,,"A long list of devices are covered, including mobile devices, games consoles, tablets and digital cameras. Please see the list below.  - Laptop: notebook, ultra-portable laptop, touch-screen tablet, pen tablet and netbook.  - Portable device: personal digital assistant -PDA-, digital audio/video player -mp3/mp4-, handheld games console, portable satellite navigation system -portable GPS unit-, dictaphone, portable photo printer and e-reader.  - Image and video: digital photo device, digital camcorder, portable video projector and portable DVD player -with no TV tuner-.  - Portable telephone: mobile phone, smartphone and any other device intended principally for telephone communication which does not require a cable connection to a power source. The telephone must contain a SIM -Subscriber Identity Module- card which has been allocated a number reserved for mobile telephone services."
product-services-q35,Digital Protect,I already have a home insurance at BNP Paribas Fortis. Do I need Digital Protect?,,,"If you have Top Home insurance from AG Insurance with extended cover against theft, you are already covered in the event of a theft that takes place outside the home. However, Digital Protect insurance provides you with a more complete cover for your devices, including cover against the risk of material damage and fraudulent use of your mobile phone."
product-services-q36,Digital Protect,How do you report a claim under Digital Proctect ?,,,"If you are in Belgium, then you should submit your claim within 48hrs by contacting us on the toll free number 0800 25 244, from Monday to Friday, from 8h30 to 17h.  If you are abroad, then you have to submit your claim within 48 hours by e-mail to cardifclaims@cap-protection.be with the following information:  - Name of the insured person and the contract number -if you have it with you-; - Type of claim: external damage or theft; - Description of the damaged device -brand, model, price and date of purchase-; - Date of your return to Belgium.   If your mobile phone is stolen abroad, you must report this to local police and obtain the report document. The insurance company will then send you by email the the documents to be completed and attached."
product-services-q37,Direct reserve,How do I request a Direct reserve?,,,"There are two ways:  - In the app Hello bank! make the request on the screen ""Add products"". The Hello Team will then send you the documents required to complete your request.  - Call the Hello Team at 02 433 41 45 - Monday to Friday from 7h to 22h and Saturday from 9h to 17h - ."
product-services-q38,Direct reserve,What are the terms for the Direct Reserve?,,,"The Direct reserve does not have a fixed term. It has an indefinite term. It terminates when the account to which it is linked is closed, or if the account holder decides to terminate the Direct reserve arrangement.   The only timescale linked to the Direct reserve is the requirement to clear the debit balance on the account every 90 days."
product-services-q39,Direct reserve,How do you collect the monthly interest in respect of the Direct reserve amounts used?,,,"The interest is collected automatically every month from the Hello Current Account to which the Direct reserve is linked. The interest is only calculated on the amounts withdrawn, that is, on the negative amount in the account."
product-services-q40,Direct reserve,When do you collect the monthly interest in respect of the Direct reserve amounts used?,,,"The interest is collected at the beginning of the month following the one in which the Direct reserve is used, with a value date of the 1st of the month. The interest is taken from the Hello Current Account to which the Direct reserve is linked."
product-services-q41,Direct reserve,"As a joint holder, can I apply for an additional Direct reserve?",,,"No, the Direct reserve is linked to a Hello Current account and not to an account holder. Only one Direct reserve can therefore be linked to a Hello Current Account."
product-services-q42,Direct reserve,How and when can I close the Direct reserve?,,,"The holder of the account to which the Direct reserve is linked can terminate his/her Direct reserve in two ways: - By closing the Hello Current account to which the Direct reserve is linked, - By requesting that the Direct reserve be closed, by telephoning, emailing or writing to the Hello team.   The notice period is 1 month.   The Bank can also decide to terminate a Direct reserve arrangement in the event that the contractual obligations are not met. In that eventuality it will send a registered letter to the account holder. In this case the notice period is 2 months."
product-services-q43,Direct reserve,"What happens if the negative balance in my account exceeds the €1,250 of the Direct reserve?",,,"Your account will then have an unauthorised excess. The difference between the negative balance and the maximum limit of the Direct reserve -€1,250- must be repaid as qucikly as possible. A higher debtor interest rate will apply to this difference: the Direct reserve interest rate increased by 10%."
product-services-q44,Direct reserve,What happens if the balance in my account is insufficient to pay the interest?,,,"In this case, the interest will still be levied against your account and your account will then have an unauthorised excess. The difference between the negative balance and the maximum limit of the Direct reserve -€1,250- must be repaid as quickly as possible. A higher debtor interest rate will apply to this difference: the Direct reserve interest rate increased by 10%."
product-services-q45,Direct reserve,"Is it possible to subscribe to a Direct reserve with an amount lower than €1,250?",,,"Yes, provided that your application for a Direct reserve is accepted an amount of €250 can be offered."
product-services-q46,Hello Bank card,I have received a text message with an activation code. How do I use it?,,,"As soon as you have open your account, we will send you your Hello Bank card and PIN code. To activiate your card, you will then have to make a telephone call and use the provided activation code."
product-services-q47,Hello Bank card,I have lost my card / my card has been stolen. What should I do?,,,"Call Card Stop immediately on + 32 -0- 70 344 344, to prevent fraudulent use. Card Stop is available 24 hours a day, 7 days a week. Card Stop blocks the card to prevent fraudulent use. You should then call the Hello Team to order a new card. You can contact the Hello Team by filling out the form in the app Hello bank! or the contact form on the Hello bank! website -contact section- or by phone on +32 -0-2 433 41 45 Monday to Friday from 7h to 22h, Saturday from 9h to 17h."
product-services-q48,Hello Bank card,I would like to change my PIN code. What do I need to do?,,,Just go to an ATM.
product-services-q49,Hello Bank card,In which countries can I use my card?,,,A quick look at this map will tell you.
product-services-q50,Hello Bank card,How do I use my bank card outside of Europe?,,,"The protection of your payment methods and the security of your payments are very important to us. Together with most other Belgian banks, we have therefore decided to restrict the use of Maestro debit cards to Europe by default. It is therefore no longer possible, in principle, to use your bank card to withdraw money or to pay in shops and supermarkets in non-European countries.     Why these new rules?  This measure aims to prevent fraudulent activity outside of Europe. However, the impact of the change remains limited as almost all Maestro transactions are carried out within Europe.     You can request to temporarily activate the Maestro function outside Europe as long as your debit card does not expire within the next 3 months.  Contact the Hello Team or call +32 -0-2 433 41 45 from 7 a.m. to 10 p.m., Monday to Friday and 9 a.m. to 5 p.m. on Saturday-. We advise you to do this well in advance: at least 3 working days before your departure."
product-services-q51,Hello Bank card,"SEPA. Yes, but what does it mean?",,,"The acronym SEPA stands for the ‘Single European Payments Area'. Europe intends to create a unified payment area that offers a great number of advantages to private individuals and companies.   The SEPA consists of:   All the EU member states: Austria, Belgium, Bulgaria, Cyprus, the Czech Republic, Denmark, Estonia, Finland, France -including Guadeloupe, French Guiana, Martinique, Reunion, Mayotte and St. Pierre and Miquelon-, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, the Netherlands, Poland, Portugal -including the Azores and Madeira-, Romania, Slovakia, Slovenia, Spain -including the Canary Islands, Ceuta and Melilla-, Sweden and the United Kingdom -including Gibraltar and Northern Ireland-.  Five other European States: Iceland, Liechtenstein, Monaco, Norway and Switzerland."
product-services-q52,Hello Bank card,"As a customer of Hello bank!, are there any charges for using my card at an ATM, a payment terminal or abroad?",,,You can find the answers to those questions in the price list.
product-services-q53,Hello Credit card,How do I apply for my Hello Credit card?,,,"You simply need to apply using the app Hello bank! through the ""Add products"" screen.  You can also call the Hello Team at 02 433 41 45 -Monday to Friday 7h to 22h and Saturday from 9h to 17h- This card is however only available for Hello bank! customers, subject to approval of your application.    Not a customer yet? Go to www.hellobank.be and click on ""Join Hello"" to register in less than 4 minutes!"
product-services-q54,Hello Credit card,Who is eligible for a Hello Credit card?,,,Anyone over the age of 18 who is a holder or joint holder of a Hello Current Account can apply a Hello Credit card -subject to approval of your application-.
product-services-q55,Hello Credit card,How many Hello Credit cards can I order?,,,You can order a maximum of 1 Hello Credit card per account holder and a maximum of 2 Hello Credit cards per Hello Current Account.
product-services-q56,Hello Credit card,How soon will I receive my Hello Credit card after I've ordered it?,,,Your Hello Credit card and PIN will be with you by post within 7 working days -subject to approval of your application-. You will then need to activate your card by calling the Hello Team on 02 433 41 45.
product-services-q57,Hello Credit card,How much will my Hello Credit card cost?,,,"The Hello Credit card costs €1.83 per month -or €22 per year-.   If you subscribe to the Hello4You offer, then it's free the first year and then it's 50% off until you turn 28."
product-services-q58,Hello Credit card,What will happen to my BNP Paribas Fortis credit card when I become a Hello bank! customer?,,,"When you become a Hello bank! customer, you have the opportunity to retain your old BNP Paribas Fortis credit card, as well as the advantages linked to it -insurance, Optiline, etc.-. The monthly service charge for your credit card may change. Therefore, please refer to our price list."
product-services-q59,Hello Credit card,How much will my BNP Paribas Fortis cards that are linked to a Hello Current Account cost?,,,"The Visa or MasterCard Classic credit card linked to a Hello Current Account costs €1.83 per month.  If you subscribe to the Hello4You offer, then it's free the first year and then it's 50% off until you turn 28.   The Visa or MasterCard Gold credit card linked to a Hello Current Account costs €3.83 per month."
product-services-q60,Hello Credit card,What is the monthly Hello Credit card limit?,,,"The monthly spending limit for your Hello Credit card is €2,500 per month.   The limit for cash withdrawals at ATMs is €600 over 4-day periods"
product-services-q61,Hello Credit card,Can I increase or decrease the limits on my Hello Credit card?,,,It's not possible to increase or decrease the limits on your Hello Credit card.
product-services-q62,Hello Credit card,How long is my Hello Credit card valid for?,,,"The Hello Credit card is issued for a period of 3 years, whether it is a new card or a renewal of an existing card."
product-services-q63,Hello Credit card,What should I do if my Hello Credit card is lost or stolen?,,,"Call CARD STOP immediately on +32 -0-70 344 344 to avoid any improper usage. CARD STOP is available 7 days a week, 24 hours a day, and can order you a new card automatically after blocking the old one. Inform the police of the theft of your card within 24 hours. We will send your new card by post to your home address."
product-services-q64,Hello Credit card,What do I do if I forgot my Hello Credit card PIN?,,,"If you forget your PIN, contact the Hello Team on 02 433 41 45."
product-services-q65,Hello Credit card,"How does the ""Épargnez et Cueillez/Spaar&Pluk"" loyalty programme work?",,,"With the ""Épargnez et Cueillez/Spaar&Pluk"" loyalty programme, you will receive a point for every transaction above €25 executed with your credit card, whether by a payment or by a money withdrawal in Belgium or abroad. For 5 saved points, you will receive an ""Épargnez et Cueillez/Spaar&Pluk"" discount voucher worth €5 which can be used at any of the programme's partners. Register with the programme straight away: www.epargnezetcueillez.be."
product-services-q66,Hello Credit card,Can I use my Hello Credit card outside Belgium?,,,"Your Hello Credit card allows you to pay for your purchases and withdraw money at ATMs in Belgium and abroad. You can also make secure payments over the internet.   However, for security reasons, the Bank can, in certain countries, apply some restrictions relating to the terms of use of your credit card. For example, if you travel to the United States, we recommend that you execute the first transaction using your PIN -at bank ATMs to withdraw money based on the current rates abroad-. Do not hesitate to contact the Hello Team on 02 433 41 45 if you would like more information about any possible usage restrictions that could be applied in these countries."
product-services-q67,Hello Credit card,What charges are associated with using my Hello Credit card?,,,An overview of the charges for your Hello Credit can be found in our price list.
product-services-q68,Hello Credit card,How can I be certain that my payment over the internet is secure?,,,"If you execute payments on a site displaying the Verified by Visa logo, that means the site meets Visa's security standards for online payments."
product-services-q69,Hello Credit card,When is my Hello Current Account debited to pay for the spending linked to my Hello Credit card?,,,The closure of transactions for the Hello Credit card always takes place on a fixed date at the end of the month. Your current account will always be debited 9 calendar days after this date. The usage limit will once again be fully available after the payment is registered.
product-services-q70,Hello Credit card,Can I cancel my Hello Credit card?,,,"You can terminate your contract at any time free of charge, by registered letter and respecting a notice period of 1 month. For more information, contact the Hello Team on 02 433 41 45."
product-services-q71,Hello Prepaid card,How do I order my Hello Prepaid card?,,,"To apply, go to the ""Add product"" screen in the app Hello bank! and select the Hello Prepaid card.  You can also call the Hello Team at 02 433 41 45 -Monday to Friday 7h to 22h and Saturday from 9h to 17h- This card is only available for Hello bank! customers. Not a customer yet? Go to www.hellobank.be and click on ""Join Hello"" to register in less than 4 minutes!"
product-services-q72,Hello Prepaid card,How to create a user account to use my Hello Prepaid card,,,"Once you have submitted your application the Hello Team completes your application and you can create your User Account. Click on ""Create a User Account"" and enter your customer number and birth date. Then choose your password and security question."
product-services-q73,Hello Prepaid card,What is my User Account?,,,"With your User Account, you can do the following:  Consult the available balance  Reload your card  Follow the history of your transactions, as well as the amounts available for payments not yet executed  Block your card and replace, for example, in case of loss, theft or damage. It is enacted, that you receive at home within 10 days a new card. Immediately  Resetting the PIN code if you have forgotten it. Within 5 days you will get the new PIN Delivery."
product-services-q74,Hello Prepaid card,How can I check the available amount on my card?,,,"You can check your balance at any time at www.hellobank.be. Go to Our Offer/ Hello Prepaid card, click the 'Manage your Prepaid card' button and then the 'Express balance' button.  Save the link in your Favourites for quick access."
product-services-q75,Hello Prepaid card,Where can I view the details of my transactions?,,,In your User Account under the heading ‘History'. You can view the details of your transactions from the past six months.
product-services-q76,Hello Prepaid card,How do I top up the amount available on my Hello Prepaid card?,,,"To top up your card, go to your User Account and click ‘Reload'. Then follow the instructions.  Topping up your card is a free service free of Hello bank!"
product-services-q77,Hello Prepaid card,Where can I use my Hello Prepaid card?,,,"You can use your physical Hello Prepaid card anywhere in the world:  •At all shops within the MasterCard network -more than 29 million around the world-.  •At ATMs -more than 1,500,000 in the world-.  •For all your online purchases.  Your virtual Hello Prepaid card is for online purchases only.   For a purchase or cash withdrawal which is not in euro, you pay a foreign exchange commission of 1.60 % of the transaction amount.  These charges are always deducted from your current balance on the card."
product-services-q78,Hello Prepaid card,Can I withdraw cash with my Hello Prepaid card?,,,"Yes, you can withdraw money from all ATMs linked to the MasterCard network -more than 1,500,000 in the world-. The costs are € 3 per withdrawal. If the withdrawal is not in euro, there is a foreign exchange commission of 1.60 % of the transaction amount. These charges are always deducted from your current balance on the card."
product-services-q79,Hello Prepaid card,How do I recover the balance on my card when I cancel my card?,,,"If you decide to cancel your card, the remaining balance is automatically transferred to your Hello Current Account.  It is a service free of charge by Hello bank!"
product-services-q80,Hello Prepaid card,Can I transfer money from my Hello Prepaid card to another card?,,,"No, this is only possible in case your card was lost or stolen and you ordered a new card. Then, the remaining balance will be automatically transferred from the old card to the new card."
product-services-q81,Hello Prepaid card,How do I know whether my card is active?,,,"You can see the status of your card in your User Account, under the heading 'My Hello Prepaid card'. If you encounter any problems using your card, you can always contact your Hello Team on 02 433 41 45, Monday to Friday from 7h to 22h and Saturday from 9h to 17h."
product-services-q82,Hello Prepaid card,Can I change my PIN code?,,,"No, the PIN code of your Hello Prepaid card cannot be changed."
product-services-q83,Hello Prepaid card,The PIN code of my card is blocked. What do I need to do?,,,"Your card is blocked when you entered the wrong PIN code three times in a row. The PIN code can easily be reset by calling your Hello Team on 02 433 41 45, Monday to Friday from 7h to 22h and Saturdays from 9h to 17h."
product-services-q84,Hello Prepaid card,I have forgotten my PIN code. What do I need to do?,,,"Go to your User Account, and click on 'My Hello Prepaid card', then choose ‘Resend your secret code'. You will receive your secret code -your PIN- by post.  This is a service free of charge by Hello bank!"
product-services-q85,Hello Prepaid card,My card has been lost/stolen. What do I do?,,,"You have three options:  - You can either log into your User Account and click on the option ‘My Hello Prepaid card'. By clicking the button ‘Replace your card' you automatically block your old card and order a new card immediately; - Or you can quickly call your Hello Team on 02 433 41 45, Monday to Friday from 7h to 22h and Saturday from 9h to 17h, to ask for your card to be blocked. Your Hello Team will order your new card immediately; - Or call Prepaid STOP as quickly as possible on 070 666 564 -available 24/7- to ask for your card to be blocked You can then replace your card by going to your User Account and order the card by clicking on ‘Replace your card'. In any event, we also recommend that you notify the loss or theft to the police as soon as possible. Your new card will be sent to you at your home address within 10 days. The balance on your blocked card will automatically be transferred to your new card. The charge for replacing your card is € 8 and will be deducted from your available balance."
product-services-q86,Hello Prepaid card,My card has been swallowed up by an ATM. What do I need to do?,,,"Do the right thing! Contact your Hello Team who will resolve this situation rapidly. Your Hello Team can be contacted from Monday to Friday, from 7h to 22h, and on Saturday from 9h to 17h, on 02 433 41 45.   Your new card will be ordered and will be sent by post to your home address within 10 days. The balance of your old card will be automatically transferred to your new card. The cost for replacing your card is €8 and will be deducted from your available balance."
product-services-q87,Hello Prepaid card,My card is damaged. What do I do?,,,"Replace your damaged card by going to your User Account and click on the heading 'My Hello Prepaid card', then click ‘Replace your card'."
product-services-q88,Hello Prepaid card,What is the expiry date of my card?,,,All physical and virtual cards are valid for 2 years as from the issuance date of the card. The expiry date and year are indicated on your physical Hello Prepaid card and for your virtual Hello Prepaid card you can find this information under the heading 'My Hello Prepaid card' in your User Account.
product-services-q89,Hello Prepaid card,What should I do if the transaction amount exceeds the balance of my Hello Prepaid card?,,,"If the retailer enters an amount higher than the available balance into the payment terminal, a message will be displayed: ‘balance insufficient'. You can, however, propose to use different means of payment to make up the difference, by paying in cash, for example. The retailer must, however, agree to split the total amount into two different payments."
product-services-q90,Hello Prepaid card,I want to cancel my Hello Prepaid card. Is this possible?,,,"You can cancel your card whenever you want. You just need to contact your Hello Team on 02 433 41 45, Monday to Friday from 7h to 22h and Saturday from 9h to 17h. Please note that cancelling your card also terminates your contract. We therefore recommend you to use the balance on your card before cancelling the card"
product-services-q91,Hello Prepaid card,How do I recover the outstanding balance on my card when it is cancelled?,,,"If you decide to cancel your card, the outstanding balance is automatically transferred to your Hello Current Account. This is a service free of charge by Hello bank!"
product-services-q92,Hello Prepaid card,How is the request for a new password secured?,,,The request will be secured with the use of the security question.
product-services-q93,Hello Prepaid card,"I forgot the answer of my security question, how can I still have access?",,,Call your Hello Team on 02 433 41 45. They will communicate your answer after having checked your identity.
product-services-q94,Easy transfer,What is Easy transfer?,,,"With Easy transfer, you can make a transfer using any Belgian mobile device number linked to an account number. You don't need to know the beneficiary's bank account number.  Once a Belgian mobile device number is associated with a Belgian account number, you can send or receive Easy transfer payments using this number."
product-services-q95,Easy transfer,Who can I use Easy transfer?,,,"- To transfer money with Easy transfer, you need to activate the Easy transfer service, using the app Hello bank!.   - In principle, anyone can receive payments via Easy transfer. This includes Hello bank! customers and non-customers. To be able to receive payments on your account using your mobile device number, you must link your mobile device number to your account number at www.easytransfer.be."
product-services-q96,Easy transfer,How do I enable Easy transfer?,,,"You have to enable Easy transfer when you first use the app Hello bank!.  You have to enter a Belgian mobile device number and an account number. By default, the mobile device number selected is the one you entered when you the app Hello bank!, but you can change it at any time."
product-services-q97,Easy transfer,How much can I transfer using Easy transfer?,,,"With Easy transfer, you can make payments of up to EUR 250 a day."
product-services-q98,Easy transfer,Can I send an Easy transfer to a friend who doesn't use Easy transfer yet?,,,"Yes, the beneficiary will receive a text message inviting them to register for Easy transfer at www.easytransfer.be."
product-services-q99,Easy transfer,Will the beneficiary receive notification?,,,"If the beneficiary isn‘t yet an Easy transfer user, they will receive a text message inviting them to register as a beneficiary on Easy transfer at www.easytransfer.be.   If the beneficiary has already enabled Easy transfer, they will receive no further text notifications. But if you have sent them a payment, you can still generate a notification message yourself."
